v1_external_id	v2_external_ids	note
FR_B1_VERB_001	FR2_B12_SUBJ_FORM | FR2_B12_SUBJ_IRREGULAR | FR2_B12_SUBJ_NECESSITY | FR2_B12_SUBJ_WILL	split: forms first, then triggers
FR_B1_VERB_002	FR2_B12_GERUND	same scope
FR_B1_AGR_001	FR2_B11_PP_AGREEMENT_AVOIR | FR2_A21_PC_ETRE	agreement with être moved into A2.1 PC with être
FR_B2_SUBJ_001	FR2_B21_SUBJ_EMOTION | FR2_B12_SUBJ_WILL | FR2_B21_SUBJ_DOUBT	split: will B1.2, emotion and doubt B2.1
FR_B2_SUBJ_002	FR2_B21_INDIC_SUBJ | FR2_B12_OPINION_SUBJ	split: opinion under negation B1.2
FR_B2_TENSE_001	FR2_B11_PLUS_QUE_PARFAIT	moved to B1.1 (due diligence §2.3)
FR_B2_COND_001	FR2_B21_CONDITIONAL_PAST	same scope
FR_B2_TENSE_002	FR2_B21_FUTUR_ANTERIEUR	same scope
FR_B2_COND_002	FR2_B21_SI_TYPE3 | FR2_B22_SI_MIXED	split
FR_B2_SYN_001	FR2_B12_PASSIVE | FR2_B21_PASSIVE_TENSES | FR2_B21_PRONOMINAL_PASSIVE	intro moved to B1.2 (due diligence §2.3), nuance stays B2.1
FR_B2_VERB_001	FR2_B21_CAUSATIVE | FR2_B21_SE_FAIRE_LAISSER	split
FR_B2_CONN_001	FR2_B21_CONCESSION | FR2_B21_CONCESSION_SUBJ | FR2_B12_OPPOSITION	split
FR_B2_REL_001	FR2_B12_RELATIVE_PREPOSITION | FR2_B21_RELATIVE_QUOI	split: lequel/auquel moved to B1.2
FR_B2_PRON_001	FR2_B21_DOUBLE_PRONOUNS_COMPOUND	same scope
FR_B2_SYN_002	FR2_B22_FORMAL_INVERSION	same scope
FR_C1_SYN_001	FR2_B22_NE_EXPLETIF	C1 is outside v2 (A1–B2): nearest unit, moved to B2.2
FR_C1_NEG_001	FR2_B11_NEG_NI_AUCUN	C1 is outside v2: nearest negation unit (literary ne…point/guère not in v2)
FR_C1_TENSE_001	FR2_B22_REPORTED_SEQUENCE	C1 is outside v2: nearest unit
FR_C1_SYN_002	FR2_B21_PASSIVE_TENSES | FR2_B21_PRONOMINAL_PASSIVE	C1 is outside v2: nearest units
FR_C1_VERB_001	FR2_B21_PARTICIPE_PRESENT	C1 is outside v2: nearest unit
FR_C1_CONN_001	FR2_B22_ARGUMENT	C1 is outside v2: nearest unit
