external_id	language	cefr_level	category	subskill	name_en	name_de	name_fr	teaching_order	is_foundation	core_rule	when_to_use	pattern	contrast_rules	main_traps	anchor_examples	exercise_tags	xray_sentence	xray_marks	source_refs	sub_band	prerequisites	contrast_partners	detector	rule_short_en	rule_short_de	rule_short_fr	review_status
FR2_A21_COD	fr	A2	Pronouns	direct_object_pronouns	Le, la, les as object pronouns	Le, la, les als Objektpronomen	Le, la, les : pronoms compléments	390	true	The direct object pronouns le, la, l', les replace a definite noun phrase that follows the verb without a preposition and go before the conjugated verb; le/la elide to l' before a vowel. Frequent verbs taking them: voir, aider, appeler, inviter, attendre, écouter, regarder, aimer, connaître.	Use it to refer back to someone or something already mentioned (the keys, the report, a colleague) without repeating it.	subject (+ ne) + le/la/l'/les + verb	Le/la/les replace a person with no à (j'aide Paul → je l'aide); lui/leur replace à + person (je parle à Paul → je lui parle). | Here le, la, les stand before a verb as pronouns, not before a noun as articles.	✗ Je vois la. → ✓ Je la vois. | aider, appeler, attendre, écouter take le/la in French: je l'aide, je t'appelle (not je lui aide) | forgetting the elision: je l'aime, not je le aime	Tu connais Sophie ? Oui, je la vois souvent au bureau. | Tes clés ? Je les ai dans mon sac. | Mon collègue est débordé, alors je l'aide avec ses dossiers.	object_pronouns | le_la_les | word_order | pronouns	Le rapport est prêt : je le finis ce soir et je l'envoie demain.	je le finis=>object_pronoun=>le = le rapport, before the verb||l'envoie=>elision=>le → l' before a vowel	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_LE_LA | FR2_A11_ER_VERBS	FR2_A21_COI	regex:\b(?:je|tu|il|elle|on|nous|vous|ils|elles|ne)\s+(?:le|la|les)\s+\w+|\b(?:je|tu|il|elle|on|nous|vous|ils|elles|ne)\s+l'\w+	Replace a person or thing that follows the verb directly with le, la, les, before the verb: je la vois.	Eine Person oder Sache direkt nach dem Verb ersetzt man durch le, la, les vor dem Verb: je la vois.	On remplace ce qui suit directement le verbe par le, la, les, placés devant : je la vois.	draft
FR2_A21_COI	fr	A2	Pronouns	indirect_object_pronouns	Lui, leur: to him, to her, to them	Lui, leur: ihm, ihr, ihnen	Lui, leur : à lui, à elle, à eux	400	true	The indirect object pronouns lui (singular, masculine and feminine) and leur (plural, invariable) replace à + person and go before the conjugated verb; typical verbs: parler à, téléphoner à, demander à, répondre à, dire à, donner à, écrire à, envoyer à, offrir à, plaire à.	Use it when you talk about calling, writing, asking, answering or giving something to people already mentioned.	subject (+ ne) + lui/leur + verb	Téléphoner à, parler à, demander à, répondre à take lui/leur; aider, appeler, voir, attendre, remercier take le/la/les (je l'appelle but je lui téléphone). | The pronoun leur never takes -s (je leur parle), unlike the possessive leurs amis.	✗ Je la téléphone ce soir. → ✓ Je lui téléphone ce soir. | lui means both to him and to her: je lui parle | leur as a pronoun never takes -s: je leur écris	Ma mère ? Je lui téléphone tous les dimanches. | Paul cherche un appart, je lui envoie l'annonce. | Les clients attendent une réponse, je leur écris cet après-midi.	indirect_pronouns | lui_leur | verbs_with_a | pronouns	Les clients ont une question, alors je leur réponds tout de suite.	leur réponds=>indirect_pronoun=>répondre à les clients → leur||leur=>no_plural_s=>the pronoun leur never takes -s	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A21_COD	FR2_A21_COD	regex:\b(?:je|tu|il|elle|on|nous|vous|ils|elles|ne)\s+(?:lui|leur)\s+\w+	Replace à + a person with lui (one) or leur (several), before the verb: je lui téléphone.	À + Person ersetzt man durch lui (eine) oder leur (mehrere), vor dem Verb: je lui téléphone.	À + une personne devient lui (une) ou leur (plusieurs), devant le verbe : je lui téléphone.	draft
FR2_A21_Y_PLACE	fr	A2	Pronouns	y_place	Y for places: j'y vais	Y für Orte: j'y vais	Y pour les lieux : j'y vais	410	true	Y replaces a place complement introduced by à, en, dans, chez, sur (not de) and goes before the conjugated verb, or before the infinitive when there are two verbs (je vais y aller).	Use it when you say you go, live, work or stay somewhere already named: the office, a city, a restaurant.	subject (+ ne) + y + verb: j'y vais, on y va, il n'y habite plus	Y stands for a place (j'y vais = I'm going there); en stands for a quantity of something (j'en veux deux). | Y with verbs such as penser à (j'y pense) comes at B1.1; here y is only a place.	✗ Je vais y. → ✓ J'y vais. | aller needs a place: say j'y vais, not just je vais | with two verbs, y goes before the second: je vais y aller	Tu vas au bureau demain ? Oui, j'y vais à neuf heures. | Lyon ? J'y habite depuis cinq ans. | On va au marché ? Allez, on y va !	y | place | pronouns | aller	Le nouveau café ? J'y vais tous les matins.	J'y vais=>place_pronoun=>y = au nouveau café	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_PLACES | FR2_A11_ALLER_VENIR	FR2_A21_EN_QUANTITY	regex:\b(?:j'y|tu y|il y|elle y|on y|nous y|vous y|ils y|elles y|n'y)\s+(?:vais|vas|va|allons|allez|vont|suis|es|est|sommes|êtes|sont|habite|habites|habitons|habitez|habitent|travaille|travailles|travaillons|travaillez|travaillent|reste|restes|restons|restez|restent|retourne|retournes|retournons|retournez|retournent|passe|passes|passons|passez|passent|allé|allée|allés|allées)\b|\by aller\b	Y replaces a place already mentioned (à Paris, chez moi, au bureau) and goes before the verb: j'y vais.	Y ersetzt einen schon genannten Ort (à Paris, chez moi, au bureau) und steht vor dem Verb: j'y vais.	Y remplace un lieu nommé (à Paris, chez moi, au bureau) et se place devant le verbe : j'y vais.	draft
FR2_A21_EN_QUANTITY	fr	A2	Pronouns	en_quantity	En for quantities: j'en veux deux	En für Mengen: j'en veux deux	En pour les quantités : j'en veux deux	420	true	En replaces a noun introduced by a partitive or indefinite article (du, de la, des, un, une) or by a quantity expression (beaucoup de, un kilo de); it goes before the verb, while the number or quantity word stays after it (j'en ai trois, j'en prends un peu).	Use it when shopping, ordering, or saying how many of something you have or want.	subject + en + verb (+ number / quantity)	En = some of it / of them (quantity); y = there (place): j'en achète, j'y vais. | Le/la/les point to a specific thing (je le prends = I'll take that one); en to an amount (j'en prends un).	✗ J'ai deux. (talking about children) → ✓ J'en ai deux. | en is compulsory when a number stands alone: j'en ai trois | en goes before avoir in the past: j'en ai acheté deux	Des croissants ? J'en prends quatre, s'il vous plaît. | Tu as des enfants ? Oui, j'en ai deux. | Du café ? Non merci, j'en ai déjà bu trois tasses.	en | quantity | pronouns | shopping	Des pommes ? J'en voudrais un kilo.	J'en=>quantity_pronoun=>en = des pommes||un kilo=>quantity=>the amount stays after the verb	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A12_QUANTITIES	FR2_A21_Y_PLACE	regex:\b(?:j'en|tu en|il en|elle en|on en|nous en|vous en|ils en|elles en)\s+\w+(?:\s+\w+){0,2}?\s+(?:un|une|deux|trois|quatre|cinq|six|sept|huit|neuf|dix|douze|vingt|\d+|plusieurs|un peu|un kilo|une bouteille|une tasse)\b	En replaces du, de la, des + thing, and keeps the number at the end: j'en veux deux.	En ersetzt du, de la, des + Sache; die Menge bleibt am Ende: j'en veux deux.	En remplace du, de la, des + chose ; la quantité reste à la fin : j'en veux deux.	draft
FR2_A21_NEG_WORDS	fr	A2	Negation	ne_plus_jamais_rien_personne	Ne…plus, ne…jamais, ne…rien, ne…personne	Ne…plus, ne…jamais, ne…rien, ne…personne	Ne…plus, ne…jamais, ne…rien, ne…personne	430	true	Ne…plus, ne…jamais, ne…rien and ne…personne replace ne…pas around the conjugated verb; in the passé composé plus, jamais, rien go before the participle but personne goes after it (je n'ai rien vu, je n'ai vu personne); un/du/des become de after them (je n'ai plus de café).	Use it for habits you have stopped, things you never do, and having nothing or seeing nobody.	subject + ne/n' + verb + plus/jamais/rien/personne	Ne…pas simply negates; these words add a meaning: no longer, never, nothing, nobody. | Never add pas: je ne vois personne, not je ne vois pas personne.	✗ Je ne mange pas jamais de viande. → ✓ Je ne mange jamais de viande. | personne goes after the participle in the past: je n'ai vu personne (but je n'ai rien vu) | in speech ne often disappears (je fume plus), but keep it in writing	Je ne fume plus depuis deux ans. | Il ne prend jamais le métro le matin. | Je n'ai rien compris à la réunion.	negation | ne_plus | ne_jamais | ne_rien | ne_personne	Je n'ai rien mangé et je n'ai vu personne.	n'...rien=>negation_frame=>rien before the participle||vu personne=>word_order=>personne after the participle	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_NEGATION	FR2_A11_NEGATION	regex:\b(?:ne\s+|n')(?:(?!pas\b)[\w']+\s+){1,2}?(?:plus|jamais|rien|personne)\b	Swap pas for plus (no longer), jamais (never), rien (nothing) or personne (nobody): je ne fume plus.	Statt pas: plus (nicht mehr), jamais (nie), rien (nichts), personne (niemand): je ne fume plus.	On remplace pas par plus, jamais, rien ou personne : je ne fume plus, je ne vois personne.	draft
FR2_A21_PASSE_RECENT	fr	A2	Tenses	venir_de	Just did: venir de + infinitive	Gerade getan: venir de + Infinitiv	Le passé récent : venir de + infinitif	440	false	Venir in the present + de + infinitive expresses an action completed just before the moment of speaking; de elides to d' before a vowel or mute h.	Use it for things that have just happened: you have just arrived, finished, heard the news or seen a message.	venir (present) + de/d' + infinitive	Aller + infinitive looks forward (je vais manger = I'm going to eat); venir de + infinitive looks back (je viens de manger = I've just eaten). | Without de, venir + infinitive means to come and do something: je viens manger = I'm coming to eat.	✗ Je viens manger. (meaning I have just eaten) → ✓ Je viens de manger. | de becomes d' before a vowel: je viens d'arriver | English 'I have just' is not j'ai juste: say je viens de	Je viens d'arriver à la gare. | Elle vient de trouver un nouveau travail. | On vient de finir la réunion.	venir_de | recent_past | infinitive | time	Désolée, je viens de voir ton message.	viens de=>recent_past=>venir de = have just||voir=>base_verb=>the verb stays in its dictionary form	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_ALLER_VENIR	FR2_A12_FUTUR_PROCHE	regex:\b(?:viens|vient|venons|venez|viennent)\s+(?:de\s+|d')(?:(?:me|te|se|nous|vous)\s+|[mts]')?[a-zàâçéèêëîïôûù]+(?:er|ir|re|oir)\b	To say you have just done something: venir de + the dictionary form of the verb: je viens d'arriver.	Um zu sagen, dass man gerade etwas getan hat: venir de + Grundform des Verbs: je viens d'arriver.	Pour une action toute récente : venir de + le verbe de base : je viens d'arriver.	draft
FR2_A21_EN_TRAIN_DE	fr	A2	Tenses	etre_en_train_de	Être en train de: in the middle of	Être en train de: gerade dabei sein	Être en train de : l'action en cours	450	false	Être (conjugated) + en train de + infinitive stresses that an action is in progress at the reference moment; since the simple present already covers 'I am doing', the periphrasis adds emphasis on ongoingness.	Use it to explain why you can't talk right now or to describe what is happening at this moment.	être + en train de/d' + infinitive	The simple present already means 'I am doing' (je travaille = I work / I'm working); en train de only adds 'right now, busy with it'. | Venir de looks at an action just finished; en train de at an action still going on.	✗ Je suis travaillant. → ✓ Je suis en train de travailler. | don't use it for habits: je travaille le lundi, not je suis en train de travailler le lundi | de becomes d' before a vowel: en train d'écrire	Je ne peux pas parler, je suis en train de conduire. | Ils sont en train de repeindre la cuisine. | Attends, je suis en train d'écrire un mail.	en_train_de | progressive | present | infinitive	Je te rappelle, je suis en train de cuisiner.	suis en train de=>in_progress=>être + en train de||cuisiner=>base_verb=>dictionary form of the verb	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_ETRE	FR2_A21_PASSE_RECENT	regex:\b(?:suis|es|est|sommes|êtes|sont|étais|était|étions|étiez|étaient)\s+en train (?:de\s+|d')\w+	Être en train de + dictionary form = busy doing right now: je suis en train de cuisiner.	Être en train de + Grundform = gerade dabei sein: je suis en train de cuisiner.	Être en train de + verbe de base = l'action se passe maintenant : je suis en train de cuisiner.	draft
FR2_A21_COMPARATIVE	fr	A2	Comparison	comparatives	Plus, moins, aussi… que: comparing	Plus, moins, aussi… que: vergleichen	Plus, moins, aussi… que : comparer	460	true	Adjectives and adverbs are compared with plus/moins/aussi + adjective/adverb + que; nouns with plus de/moins de/autant de + noun (+ que); verbs with verb + plus/moins/autant (+ que). The adjective agrees, and que is followed by a stressed pronoun (que moi, que lui).	Use it to compare flats, prices, jobs, cities, transport or people.	plus/moins/aussi + adjective + que; plus de/moins de/autant de + noun + que	Bon and bien have special forms (meilleur, mieux), taught separately: never plus bon. | Aussi goes with adjectives (aussi cher), autant with nouns and verbs (autant de travail, je travaille autant).	✗ Paris est plus cher comme Lyon. → ✓ Paris est plus cher que Lyon. | after que use moi, toi, lui: plus grand que moi, not que je | with nouns add de: plus de temps, not plus temps	Le métro est plus rapide que le bus. | Ce restaurant est moins cher que l'autre. | Ma nouvelle collègue est aussi sympa que Marc.	comparative | plus_moins_aussi | adjectives | comparison	Le train est moins cher que l'avion, mais plus lent.	moins cher que=>comparison=>moins + adjective + que||plus lent=>comparison=>plus + adjective, que-part understood	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_ADJ_AGREEMENT		regex:\b(?:plus|moins|aussi|autant)\s+(?:de\s+|d')?[\w']+\s+(?:que|qu')	Compare with plus, moins or aussi before the word and que after: il est plus grand que moi.	Man vergleicht mit plus, moins oder aussi davor und que danach: il est plus grand que moi.	On compare avec plus, moins ou aussi avant le mot et que après : il est plus grand que moi.	draft
FR2_A21_SUPERLATIVE	fr	A2	Comparison	superlatives	Le plus, le moins: superlatives	Le plus, le moins: am meisten, am wenigsten	Le plus, le moins : le superlatif	470	true	The superlative is le/la/les + plus/moins + adjective (agreeing); when the adjective follows the noun the article is repeated (la ville la plus chère), with short pre-nominal adjectives it stays before (le plus grand musée); the group is introduced by de (du quartier, de l'équipe).	Use it to name the best, cheapest, biggest or most practical option in a group.	le/la/les + noun + le/la/les + plus/moins + adjective (+ de + group)	The comparative compares two things (plus cher que); the superlative picks the top of a group (le plus cher de tous). | The article is repeated after the noun: la ville la plus chère, not la ville plus chère.	✗ C'est le restaurant plus cher de la ville. → ✓ C'est le restaurant le plus cher de la ville. | the group takes de, not dans: le plus grand du monde | bon becomes le meilleur, never le plus bon	C'est le restaurant le plus cher du quartier. | Marie est la plus jeune de l'équipe. | Quel est le moyen le moins cher pour aller à Nice ?	superlative | le_plus | adjectives | comparison	C'est l'hôtel le plus calme de la ville.	le plus calme=>superlative=>article + plus + adjective||de la ville=>group=>de introduces the group	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A21_COMPARATIVE	FR2_A21_COMPARATIVE	regex:\b(?:le|la|les)\s+(?:plus|moins)\s+(?!de\b|d')\w+	For the most or the least, use le/la/les plus or moins: c'est la ville la plus chère.	Für am meisten oder am wenigsten: le/la/les plus oder moins: c'est la ville la plus chère.	Pour le plus haut degré : le/la/les plus ou moins + mot : c'est la ville la plus chère.	draft
FR2_A21_TIME_PREPOSITIONS	fr	A2	Prepositions	il_y_a_depuis_pendant_dans	Il y a, depuis, pendant, dans: time	Il y a, depuis, pendant, dans: Zeitangaben	Il y a, depuis, pendant, dans : exprimer le temps	480	true	Il y a + duration locates a past event (with the passé composé); depuis + duration or date + present tense expresses a situation still ongoing; pendant + duration gives a bounded period; dans + duration places an event in the future counted from now.	Use it to say how long ago something happened, since when or for how long you have done something, and how soon something will happen.	passé composé + il y a + duration; present + depuis + duration/date; pendant + duration; dans + duration (future)	English 'I have lived here for three years' = j'habite ici depuis trois ans (present, not passé composé). | Dans deux heures = two hours from now; en deux heures (how long a task takes) comes at B2.2.	✗ J'habite ici pour trois ans. → ✓ J'habite ici depuis trois ans. | depuis takes the present for something still going on: je travaille ici depuis mai | il y a points back from now (je suis arrivé il y a une heure); dans points forward (j'arrive dans une heure)	Je suis arrivé à Lyon il y a trois mois. | J'apprends le français depuis un an. | On a attendu le bus pendant vingt minutes.	time | il_y_a | depuis | pendant | dans	Il travaille ici depuis deux ans et il part en vacances dans une semaine.	depuis deux ans=>ongoing_duration=>still true now, present tense||dans une semaine=>future_point=>one week from now	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A21_PC_AVOIR		regex:\b(?:il y a|depuis|pendant|dans)\s+(?:un|une|deux|trois|quatre|cinq|six|sept|huit|neuf|dix|quinze|vingt|trente|quarante|quelques|plusieurs|\d+)\s+(?:minutes?|heures?|jours?|semaines?|mois|ans?|années?)\b	Il y a = ago, depuis = since/for (still true), pendant = for (finished), dans = in (future).	Il y a = vor, depuis = seit, pendant = lang/während (abgeschlossen), dans = in (Zukunft).	Il y a = moment passé, depuis = ça dure encore, pendant = durée finie, dans = dans le futur.	draft
FR2_A21_POLITE_CONDITIONAL	fr	A2	Conditionals	conditional_politeness	Politeness and wishes: j'aimerais, pourriez-vous	Höflichkeit und Wünsche: j'aimerais, pourriez-vous	Politesse et souhaits : j'aimerais, pourriez-vous	490	true	A small set of conditional forms (j'aimerais, je voudrais, je pourrais, pourriez-vous / pourrais-tu, vous auriez, ce serait) softens requests and expresses wishes; they are learned as chunks before the full conditionnel at B1.1.	Use it to order, book, ask colleagues or strangers for help, and say what you would like.	j'aimerais / je voudrais + infinitive or noun; pourriez-vous / tu pourrais + infinitive	Je veux sounds blunt to a waiter or a stranger; je voudrais / j'aimerais is the polite default. | The full conditional and si-clauses come at B1.1.	✗ Je veux un café. (to a waiter: sounds rude) → ✓ Je voudrais un café, s'il vous plaît. | j'aimerais (would like) vs j'aimerai (will like): the -s matters in writing | pourriez-vous is more polite than pouvez-vous; with friends say tu pourrais…?	J'aimerais réserver une table pour quatre personnes. | Pourriez-vous m'envoyer le document ? | Tu pourrais fermer la fenêtre, s'il te plaît ?	politeness | conditional_chunks | requests | wishes	Bonjour, j'aimerais un renseignement : pourriez-vous m'aider ?	j'aimerais=>wish=>polite wish||pourriez-vous=>polite_request=>very polite request	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_JE_VOUDRAIS | FR2_A12_MODALS		regex:\b(?:j'aimerais|tu aimerais|vous aimeriez|on aimerait|je voudrais|tu voudrais|vous voudriez|je pourrais|tu pourrais|vous pourriez|pourriez-vous|pourrais-tu|auriez-vous|vous auriez|ce serait|ça serait)\b	For polite requests and wishes, use the -rais/-rait forms: j'aimerais, je pourrais, pourriez-vous, ce serait.	Für höfliche Bitten und Wünsche nimmt man die Formen auf -rais/-rait: j'aimerais, pourriez-vous, ce serait.	Pour être poli ou exprimer un souhait, on utilise les formes en -rais/-rait : j'aimerais, pourriez-vous.	draft
FR2_A21_CAUSE_CONSEQUENCE	fr	A2	Connectors	car_donc_alors_comme	Car, comme, donc, alors: why and so	Car, comme, donc, alors: Grund und Folge	Car, comme, donc, alors : la cause et la conséquence	500	true	Car (mostly written) adds a reason after the main clause; comme introduces a known reason at the start of the sentence; donc and alors introduce a consequence, alors being more spoken. Parce que stays the neutral answer to pourquoi.	Use it to explain decisions, give excuses and link ideas in emails and conversations.	Comme + cause, conséquence; fait + car + cause; cause, donc/alors + conséquence	Parce que answers pourquoi and can stand alone; car can neither start a sentence nor answer a question. | Comme meaning 'since' goes first (Comme il pleut, je reste); donc and alors come after the cause (Il pleut, donc je reste).	✗ Car il pleut, je reste. → ✓ Comme il pleut, je reste. | don't answer Pourquoi ? with car: say parce que | donc can also sit after the verb: il est donc parti	Comme il pleut, on reste à la maison. | Je pars tôt car j'ai un rendez-vous. | Le train est en retard, donc je vais prendre un taxi.	connectors | cause | consequence | car_comme | donc_alors	Comme le bureau est fermé, je travaille de chez moi, donc je suis disponible.	Comme=>cause=>known reason first, with comme||donc=>consequence=>donc introduces the result	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A12_CONNECTORS		regex:(?:^|[.!?]\s+)comme\s+(?:il|elle|on|je|j'|tu|nous|vous|ils|elles|c'|le|la|les|l')|(?<!le )(?<!un )(?<!en )\bcar\b|,\s*(?:donc|alors)\b	Give a reason with car or comme (comme at the start); give a result with donc or alors.	Grund mit car oder comme (comme am Satzanfang); Folge mit donc oder alors.	La cause avec car ou comme (comme en début de phrase) ; la conséquence avec donc ou alors.	draft
FR2_A21_VERB_PREPOSITIONS	fr	A2	Prepositions	verbs_a_de	Verbs with à and de: penser à, parler de	Verben mit à und de: penser à, parler de	Les verbes avec à et de : penser à, parler de	510	true	Many verbs take a fixed preposition before their complement: à (penser à, parler à, téléphoner à, répondre à, jouer à) or de (parler de, avoir besoin de, avoir envie de, s'occuper de, jouer de); à/de contract with le/les (au, aux, du, des). English or German prepositions do not predict them.	Use it to talk about what you think of, need, feel like, talk about or take care of.	verb + à/au/aux + noun; verb + de/du/des + noun	Replacing these complements with y and en (j'y pense, j'en parle) comes at B1.1. | Some verbs take no preposition in French where English has one: écouter la radio, regarder la télé, chercher un appart, attendre le bus.	✗ J'attends pour le bus. → ✓ J'attends le bus. | parler à = talk to someone; parler de = talk about something | don't forget the contraction: je pense au week-end, j'ai besoin du dossier	Je pense souvent à mes vacances. | On parle du nouveau projet demain. | J'ai besoin d'un ordinateur pour travailler.	verb_prepositions | a_de | contractions | valency	Elle parle à son chef du problème.	parle à=>verb_preposition=>parler à + person||du problème=>verb_preposition=>parler de + topic; de + le = du	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_CONTRACTIONS		regex:\b(?:pens(?:e|es|ons|ez|ent|er|é)|parl(?:e|es|ons|ez|ent|er|é)|téléphon(?:e|es|ons|ez|ent|er|é)|répond(?:s|ons|ez|ent|re|u)?|occup(?:e|es|ons|ez|ent|er|é)|jou(?:e|es|ons|ez|ent|er|é)|besoin|envie)\s+(?:(?:souvent|toujours|beaucoup|parfois|rarement|encore)\s+)?(?:à\s|au\s|aux\s|de\s|du\s|des\s|d')	Some verbs need à or de before the next word: penser à, parler de, avoir besoin de.	Manche Verben brauchen danach à oder de: penser à, parler de, avoir besoin de.	Certains verbes se construisent avec à ou de : penser à, parler de, avoir besoin de.	draft
FR2_A21_INVERSION	fr	A2	Syntax	inversion_questions	Inverted questions: Voulez-vous… ? Où vas-tu ?	Fragen mit Umstellung: Voulez-vous… ? Où vas-tu ?	L'inversion dans les questions : Voulez-vous… ? Où vas-tu ?	520	true	Inversion places the subject pronoun after the conjugated verb, joined by a hyphen (Voulez-vous… ? Où vas-tu ?), with -t- inserted between a vowel-final verb and il/elle/on (Va-t-il… ?); it is more formal than intonation or est-ce que. Inversion with a noun subject (Marie vient-elle ?) comes at B2.2.	Use it for polite questions to strangers, in service situations and in written messages.	(question word +) verb-pronoun ?: Voulez-vous… ? Où allez-vous ? A-t-il… ?	Three ways to ask, from casual to formal: intonation (Tu viens ?), est-ce que (Est-ce que tu viens ?), inversion (Viens-tu ?). | Never combine inversion with est-ce que: Où est-ce que tu vas ? or Où vas-tu ?, not both.	✗ Où vous allez-vous ? → ✓ Où allez-vous ? | add -t- between two vowels: Parle-t-il français ? A-t-elle fini ? | avoid inverting je in everyday French; use est-ce que instead	Voulez-vous boire quelque chose ? | Où habitez-vous ? | À quelle heure part-il ?	questions | inversion | formal_register | hyphen	Bonjour, avez-vous une table pour deux ? À quelle heure ferme-t-il ?	avez-vous=>inversion=>verb + hyphen + vous||ferme-t-il=>euphonic_t=>-t- between two vowels	cefr | delf_a2 | kwiziq_a2	A2.1	FR2_A11_QUESTION_WORDS	FR2_A11_QUESTIONS	regex:\b(?!rendez-vous\b)\w+-(?:t-)?(?:je|tu|vous|il|elle|on|nous|ils|elles)\b(?=[^.!?]*\?)	In polite or written questions, put the verb before tu/vous/il with a hyphen: Voulez-vous un café ?	In höflichen oder schriftlichen Fragen steht das Verb vor tu/vous/il, mit Bindestrich: Voulez-vous un café ?	Dans une question polie ou écrite, le verbe passe devant tu/vous/il, avec un trait d'union : Voulez-vous un café ?	draft
FR2_A22_IMPARFAIT	fr	A2	Tenses	imparfait	Imparfait: description and habits	Imparfait: Beschreibung und Gewohnheiten	L'imparfait : description et habitudes	530	true	The imparfait is built on the stem of the nous present (nous finissons → je finissais, nous prenons → je prenais) + -ais, -ais, -ait, -ions, -iez, -aient; only être is irregular (ét-). Only the nous and vous endings contain i; -ger and -cer verbs keep e/ç before a (je mangeais, je commençais). It expresses past states, descriptions, ongoing background and habits.	Use it to describe how people, places and life used to be, and what you used to do regularly.	nous-stem + -ais, -ais, -ait, -ions, -iez, -aient (être: ét-)	The passé composé tells a finished event (j'ai habité à Lyon deux ans); the imparfait describes or repeats (quand j'habitais à Lyon, je prenais le vélo). | Choosing between the two in a story is its own unit (Imparfait vs passé composé).	✗ Je mangais beaucoup de pain. → ✓ Je mangeais beaucoup de pain. | only nous and vous have i: je parlais, nous parlions (never je parliais) | être is the one irregular stem: j'étais, il était (not j'êtais)	Quand j'étais étudiant, j'habitais dans un petit studio. | Avant, on prenait toujours le train pour aller chez mes grands-parents. | Il faisait beau et les gens étaient en terrasse.	imparfait | past | description | habits | conjugation	Quand j'étais petite, nous passions tous les étés chez ma tante.	j'étais=>etre_stem=>être → ét-||passions=>imparfait_ending=>nous form: -ions	cefr | delf_a2 | kwiziq_a2	A2.2	FR2_A21_PC_AVOIR	FR2_A21_PC_AVOIR	regex:\b(?:j'|(?:je|tu|il|elle|on|nous|vous|ils|elles)\s+)(?:n'|ne\s+)?(?:[mtsl]'|(?:me|te|se|le|la|les|lui|leur|y|en)\s+)?(?!\w*(?:[eiudvr]|tt)r(?:ais|ait|ions|iez|aient)\b)(?!(?:fais|fait|vais|sais|sait|connais|connait|reconnais|reconnait|plais|plait|tais|tait|nais|nait|parais|parait|mais|jamais)\b)(?!(?:oubli|étudi|vérifi|remerci|appréci|copi|cri|ri|pri|confi|mari|ski)(?:ons|ez)\b)\w+(?:ais|ait|aient|ions|iez)\b	Past habits and descriptions: nous form minus -ons, plus -ais, -ait, -ions…; être becomes j'étais.	Für Beschreibungen und Gewohnheiten: nous-Form ohne -ons, plus -ais, -ait, -ions…: je parlais; être → j'étais.	Pour décrire ou raconter une habitude : forme nous sans -ons, + -ais, -ait, -ions… ; être → j'étais.	draft
FR2_A22_IMP_VS_PC	fr	A2	Tenses	imparfait_vs_passe_compose	Imparfait vs passé composé	Imparfait oder Passé composé	Imparfait ou passé composé	540	true	In past narration the imparfait presents states, ongoing actions and habits without a boundary (the background), while the passé composé presents completed, delimited events that move the story forward; an event interrupting an ongoing action is in the passé composé.	Use it whenever you tell what happened: an anecdote from work, a trip, a weekend, a childhood memory.	imparfait (background) + quand + passé composé (event)	Length alone does not decide: j'ai habité à Rome pendant dix ans (a finished block) vs j'habitais à Rome (a description, no end in view). | Habits take the imparfait (tous les étés, on allait à la mer); one occasion takes the passé composé (cet été-là, on est allés en Grèce).	✗ Quand je suis arrivé, il a plu. (meaning it was raining) → ✓ Quand je suis arrivé, il pleuvait. | a sudden event interrupting takes the passé composé: je lisais quand le téléphone a sonné | states such as être, avoir, vouloir are usually in the imparfait: j'étais fatigué, je voulais partir	Je prenais ma douche quand quelqu'un a sonné à la porte. | Il faisait beau, alors on est allés à la plage. | Quand j'étais jeune, j'allais au cinéma tous les samedis.	imparfait | passe_compose | narration | aspect | past	Je travaillais tranquillement quand l'alarme a sonné.	travaillais=>background=>ongoing action: imparfait||a sonné=>event=>sudden event: passé composé	cefr | delf_a2 | kwiziq_a2	A2.2	FR2_A22_IMPARFAIT | FR2_A21_PC_ETRE	FR2_A22_IMPARFAIT | FR2_A21_PC_AVOIR	llm:Credit when, in a past narrative, the learner uses the imparfait for background, states or habits and the passé composé for completed events that move the story on, such as an interruption.	Imparfait for the background (was doing, used to); passé composé for the event: je dormais quand il a appelé.	Imparfait für Rahmen und Gewohnheiten; Passé composé für das Ereignis: je dormais quand il a appelé.	L'imparfait pour le décor et les habitudes ; le passé composé pour l'événement : je dormais quand il a appelé.	draft
