external_id	language	cefr_level	category	subskill	name_en	name_de	teaching_order	is_foundation	core_rule	when_to_use	pattern	contrast_rules	main_traps	anchor_examples	exercise_tags	xray_sentence	xray_marks	source_refs
FR_A1_ADJ_001	fr	A1	Agreement	adjective_agreement	Adjective agreement and position	Adjektivkongruenz und Stellung	110	true	Most adjectives agree with the noun in gender and number, and many common adjectives come after the noun.	Use this whenever a noun is described by color, quality, nationality, size, or evaluation.	noun + adjective agreement; some short adjectives before noun	Position can change meaning for some adjectives. | Agreement is written even when final letters are silent.	leaving adjective masculine singular | placing every adjective after the noun | forgetting plural -s	une maison blanche | de petits cafés | un ancien professeur	agreement | adjectives | position	De petites maisons blanches bordent la rue.	petites=>before_noun_agreement=>the adjective before the noun still agrees feminine plural||blanches=>after_noun_agreement=>the color adjective after the noun also agrees	cefr | delf_a1 | kwiziq_a1
FR_A1_VERB_002	fr	A1	Tenses	futur_proche	Futur proche: aller + infinitive	Futur proche: aller + Infinitiv	120	true	Use aller in the present plus an infinitive to talk about an upcoming action.	Use this for plans, intentions, and events felt close or already arranged.	aller present + infinitive	Futur proche is more immediate or planned than future simple. | Only aller is conjugated; the second verb stays infinitive.	conjugating both verbs | using être instead of aller | using future simple for a near plan	Je vais partir. | Nous allons étudier. | Ils vont arriver.	tenses | future | infinitive	Nous allons visiter Paris demain.	allons=>conjugated_aller=>only aller changes for the subject||visiter=>infinitive=>the action verb stays infinitive	cefr | delf_a1 | kwiziq_a1
FR_A2_PRON_001	fr	A2	Pronouns	direct_indirect_objects	Direct and indirect object pronouns	 Direkte und indirekte Objektpronomen	130	true	Use le/la/les for direct objects and lui/leur for indirect objects introduced by à.	Use this when replacing a known person or thing so the sentence is less repetitive.	pronoun before conjugated verb: le/la/les or lui/leur	Direct object pronouns answer whom/what; indirect pronouns usually answer to whom. | Lui/leur do not show gender.	using lui for a direct object | placing pronouns after the verb | using le for à + person	Je la vois. | Je lui parle. | Nous les invitons.	pronouns | object_pronouns | direct_indirect	Je lui parle, mais je la vois rarement.	lui=>indirect_person=>parler à someone becomes lui||la=>direct_object=>voir someone directly becomes la	cefr | delf_a2 | kwiziq_a2
FR_A2_PRON_002	fr	A2	Pronouns	y_en_basics	Y and en basics	Y und en: Grundlagen	140	true	Use y for à/place ideas and en for de/quantity ideas.	Use this when the replaced phrase is not a simple direct object.	y = à/place phrase; en = de/quantity phrase	Y often points to a place or à + thing; en points to de + noun or a quantity. | People after à usually use lui/leur, not y.	using en for direct objects | using y for people after à | forgetting quantity with en	J'y vais. | J'en veux deux. | Elle en parle.	pronouns | y | en	Je vais au marché et j'en achète deux.	au marché=>place_source=>the place could be replaced by y||en=>quantity_pronoun=>en points back to a de/quantity idea	cefr | delf_a2 | kwiziq_a2
FR_A2_NEG_001	fr	A2	Negation	articles_after_negation	De/d' after negation	De/d' nach Verneinung	150	true	After a negative quantity, change du, de la, de l', des, un, or une to de or d'.	Use this when a negative sentence says there is no amount or no example of something.	ne...pas + de/d' + noun	Ce n'est pas keeps the original article because être identifies rather than counts. | Definite articles usually stay definite after negation.	keeping du/des after pas | changing articles after être | forgetting d' before a vowel	Je ne bois pas de café. | Ce n'est pas du café. | Elle n'a pas d'argent.	negation | articles | quantity	Je ne bois pas de café.	ne...pas=>negative_frame=>the verb is negated by the full frame||de café=>negative_quantity=>du café becomes de café after pas	cefr | delf_a2 | kwiziq_a2
FR_A2_TENSE_001	fr	A2	Tenses	passe_compose_avoir	Passé composé with avoir	Passé composé mit avoir	160	true	Use avoir in the present plus the past participle to report a completed past action.	Use this for events that happened and are treated as finished.	avoir present + past participle	Passé composé presents a completed event; imparfait presents background or habit. | Most verbs use avoir, but movement/reflexive verbs often do not.	using the infinitive instead of participle | forgetting avoir | using imparfait for completed events	J'ai mangé. | Nous avons fini. | Elle a vendu sa voiture.	tenses | passe_compose | avoir	Hier, nous avons fini le projet.	avons=>auxiliary_avoir=>avoir carries person and number||fini=>past_participle=>the completed action sits in the participle	cefr | delf_a2 | kwiziq_a2
FR_A2_TENSE_002	fr	A2	Tenses	passe_compose_etre	Passé composé with être	Passé composé mit être	170	true	Use être with movement/reflexive verbs in passé composé, and make the participle agree with the subject.	Use this for the common être verbs like aller, venir, entrer, sortir, naître, mourir, and reflexive verbs.	être present + agreeing past participle	Être verbs show subject agreement; avoir verbs usually do not. | Some movement verbs switch auxiliary when they take a direct object.	using avoir with aller/venir | forgetting agreement | adding agreement to every avoir verb	Elle est arrivée. | Ils sont sortis. | Nous nous sommes levés.	tenses | passe_compose | etre	Les étudiantes sont arrivées tôt.	sont=>auxiliary_etre=>être is the auxiliary for arriver||arrivées=>subject_agreement=>the participle agrees feminine plural	cefr | delf_a2 | kwiziq_a2
FR_A2_VERB_001	fr	A2	Verbs	reflexive_verbs	Reflexive verbs	Reflexive Verben	180	true	Reflexive verbs use a pronoun that points back to the subject.	Use this for daily routines, reciprocal actions, and verbs whose French form is reflexive.	subject + reflexive pronoun + verb	Reflexive meaning is not always visible in English. | In passé composé, reflexives normally use être.	forgetting the reflexive pronoun | using the wrong pronoun | treating every reflexive as literal self-action	je me lève | nous nous parlons | elle s'est habillée	verbs | reflexive | pronouns	Nous nous levons à sept heures.	Nous=>subject=>the subject controls the reflexive pronoun||nous levons=>reflexive_pair=>the second nous belongs to the verb frame	cefr | delf_a2 | kwiziq_a2
FR_A2_TENSE_003	fr	A2	Tenses	imparfait_basics	Imparfait basics	Imparfait: Grundlagen	190	true	Use imparfait for past background, habits, descriptions, and actions in progress.	Use this when the past action is not framed as a single completed event.	nous present stem + imparfait endings	Imparfait is not simply “was -ing”; it can describe habits and states too. | Passé composé is used for bounded events.	using passé composé for every past verb | treating description as an event | forgetting nous-stem exceptions	Quand j'étais petit, je jouais dehors. | Il faisait froid. | Nous allions souvent au parc.	tenses | imparfait | background	Il faisait froid et les rues étaient vides.	faisait=>background_state=>weather is described as a past state||étaient=>description=>the scene is held open, not completed	cefr | delf_a2 | kwiziq_a2
FR_A2_TENSE_004	fr	A2	Tenses	past_intro	Imparfait vs passé composé intro	Imparfait vs. passé composé: Einstieg	200	true	In mixed past narration, use imparfait for the scene and passé composé for the event that happens.	Use this when one past action interrupts, changes, or advances a background situation.	imparfait background + passé composé event	Imparfait sets the stage; passé composé moves the story. | A long action can still be passé composé if it is treated as bounded.	using one past tense for everything | missing interruption cues | choosing tense from verb meaning only	Je lisais quand le téléphone a sonné. | Il pleuvait, puis le soleil est sorti.	tenses | past_contrast | narration	Je lisais quand le téléphone a sonné.	lisais=>background=>reading was already in progress||a sonné=>event=>the ringing is the bounded event	cefr | delf_a2 | kwiziq_a2
FR_A2_ADJ_001	fr	A2	Comparison	comparatives_superlatives	Comparatives and superlatives	Komparativ und Superlativ	210	true	Use plus/aussi/moins ... que for comparison and le/la/les plus ... for the superlative.	Use this to compare qualities, quantities, or actions.	plus/aussi/moins + adjective/adverb + que; le plus + adjective	Comparatives compare two things; superlatives pick an extreme inside a group. | Adjectives still agree with the noun.	forgetting que | using de instead of que | forgetting adjective agreement	plus grand que | aussi vite que | la plus intéressante	comparison | adjectives | agreement	Cette solution est plus simple que l'autre.	plus simple=>comparative=>plus marks the higher degree||que=>comparison_link=>que introduces what it is compared with	cefr | delf_a2 | kwiziq_a2
FR_A2_REL_001	fr	A2	Relative clauses	qui_que_ou	Relative pronouns: qui, que, où	Relativpronomen: qui, que, où	220	true	Use qui for the subject role, que for the object role, and où for place or time inside a relative clause.	Use this to combine two sentences around a noun without repeating it.	noun + qui/que/où + clause	Qui/que are chosen by the missing role inside the relative clause, not by the noun's gender. | Où can refer to time as well as place.	using qui for every relative clause | choosing by gender | forgetting elision qu'	C'est le film que j'aime. | La femme qui parle est médecin. | Le jour où tu viens.	relative | qui | que | ou	La ville où j'habite est calme.	La ville=>antecedent=>the noun being specified||où j'habite=>place_clause=>où fills the place role inside the clause	cefr | delf_a2 | kwiziq_a2
FR_A2_PREP_001	fr	A2	Prepositions	time_prepositions	Time prepositions: depuis, pendant, pour	Zeitpräpositionen: depuis, pendant, pour	230	true	Use depuis for duration still connected to now, pendant for a bounded duration, and pour for planned duration.	Use this when the time phrase changes whether an action is ongoing, completed, or intended.	depuis + present/past point; pendant + bounded duration; pour + planned duration	Depuis often uses present in French where English uses present perfect. | Pendant measures duration without saying it continues now.	using pour for past duration | translating “for” mechanically | using passé composé after depuis for ongoing states	J'habite ici depuis deux ans. | Il a dormi pendant huit heures. | Je pars pour trois jours.	time | prepositions | duration	J'étudie le français depuis deux ans.	J'étudie=>present_ongoing=>French uses present for an action continuing now||depuis deux ans=>duration_to_now=>depuis connects the duration to the present	cefr | delf_a2 | kwiziq_a2
FR_A2_VERB_002	fr	A2	Verbs	imperative_pronouns	Imperative with pronouns	Imperativ mit Pronomen	240	true	In affirmative commands, object pronouns follow the verb and attach with hyphens.	Use this when giving direct instructions that include le, la, les, moi, nous, lui, leur, y, or en.	imperative- pronoun(s); negative command keeps normal pronoun order	Affirmative command order differs from normal pronoun position. | Me and te become moi and toi after affirmative imperatives.	putting pronoun before affirmative imperative | forgetting hyphens | using me/te after the verb	Donne-le-moi. | N'y va pas. | Prends-en deux.	imperative | pronouns | syntax	Donne-le-moi demain.	Donne=>imperative_verb=>the command starts with the verb||le-moi=>attached_pronouns=>pronouns follow and attach in affirmative commands	cefr | delf_a2 | kwiziq_a2
FR_B1_COND_001	fr	B1	Conditionals	si_type_1	Si type 1: present condition, future result	Si-Satz Typ 1: Präsens und Futur	250	false	In a real si-condition, keep the si-clause in the present and put the consequence in future simple or imperative.	Use this for a possible future condition and its likely result or instruction.	si + present -> future simple / imperative	Do not put future simple immediately after si. | Do not replace the requested si frame with quand.	using future after si | using conditional for a real result | replacing si with quand	Si tu viens, on ira. | Si tu as faim, mange. | S'il pleut, prends ton manteau.	si | future | imperative	Si je finis tôt, je t'appellerai.	Si=>condition_trigger=>opens a real future condition||finis=>present_si_clause=>the verb after si stays present||appellerai=>future_result=>the result clause carries the future	cefr | delf_b1 | kwiziq_b1
FR_B1_COND_002	fr	B1	Conditionals	si_type_2	Si type 2: imperfect condition, conditional result	Si-Satz Typ 2: Imparfait und Conditionnel	260	false	Use imparfait after si and conditional present in the result for an unreal or unlikely present/future situation.	Use this for hypotheses, advice, and imagined conditions that are not presented as real facts.	si + imparfait -> conditionnel présent	Si type 1 is real/open; si type 2 is hypothetical. | The conditional belongs in the result, not after si.	using conditional after si | using present for an unreal condition | confusing advice with real future	Si j'avais le temps, je voyagerais. | Si tu voulais, tu pourrais venir.	conditionals | imparfait | conditional	Si j'avais le temps, je partirais.	j'avais=>imperfect_condition=>the si-clause uses imparfait for the hypothesis||partirais=>conditional_result=>the result uses conditional present	cefr | delf_b1 | kwiziq_b1
FR_B1_TENSE_002	fr	B1	Tenses	future_simple	Future simple	Futur simple	270	false	Use future simple for future facts, predictions, promises, and consequences that are not framed as immediate plans.	Use this when the future is stated more formally, remotely, or as a result in a si type 1 frame.	infinitive stem + future endings; irregular future stems	Futur proche feels planned or near; future simple can be broader, formal, or consequential. | After si, future simple goes in the result clause only.	using futur proche everywhere | putting future after si | forgetting irregular stems	Je partirai demain. | Nous aurons le temps. | Elle fera attention.	tenses | future | stems	Demain, nous aurons plus de temps.	aurons=>irregular_future=>avoir uses the future stem aur-||demain=>future_context=>the time phrase anchors the future statement	cefr | delf_b1 | kwiziq_b1
FR_B1_COND_003	fr	B1	Conditionals	conditional_present	Conditional present	Conditionnel présent	280	false	Use conditional present for hypothetical results, polite requests, and future-in-the-past contexts.	Use this when the action depends on a condition, softens a request, or is reported from a past viewpoint.	future stem + imparfait endings	Conditional is not the same as future simple; it often marks dependency or politeness. | In si type 2, conditional belongs in the result clause.	using conditional for certain future | putting it after si | confusing politeness with tense	Je voudrais un café. | Elle viendrait si elle pouvait. | Il a dit qu'il partirait.	conditional | politeness | hypothesis	Je viendrais si j'avais le temps.	viendrais=>conditional_result=>the result is hypothetical||si j'avais=>condition=>the condition uses imparfait	cefr | delf_b1 | kwiziq_b1
FR_B1_TENSE_001	fr	B1	Tenses	tense_choice	Imparfait vs passé composé	Imparfait vs. passé composé	290	false	Use imparfait for ongoing background, habit, or description; use passé composé for the bounded event that moves the story forward.	Use this in past narration when a scene and an event appear together.	imparfait = background/habit; passé composé = completed event	Imparfait is not a generic past tense. | Passé composé is not only for short actions; it marks a bounded event.	using passé composé for the whole past sentence | using imparfait for completed events | ignoring time boundaries	Il pleuvait quand je suis sorti. | Je lisais quand le téléphone a sonné. | Chaque été, nous allions à Lyon.	tenses | background | event	Il pleuvait quand je suis sorti.	pleuvait=>background=>weather was already in progress||suis sorti=>bounded_event=>leaving is the completed event	cefr | delf_b1 | kwiziq_b1
FR_B1_PRON_001	fr	B1	Pronouns	object_pronoun_order	Object pronoun order	Objectpronomen: Reihenfolge	300	false	French object pronouns follow a fixed order before the verb or around imperatives.	Use this when two pronouns appear together, especially direct/indirect objects with y or en.	me/te/se/nous/vous -> le/la/les -> lui/leur -> y -> en	Pronoun order is structural, not based on English meaning. | Affirmative imperatives use a different post-verbal order.	translating English order | mixing lui before le | forgetting y/en positions	Je le lui donne. | Il nous en parle. | Donne-le-lui.	pronouns | order | double_pronouns	Je le lui donne demain.	le=>direct_object_slot=>direct object pronoun comes before lui/leur||lui=>indirect_object_slot=>indirect person pronoun follows le/la/les	cefr | delf_b1 | kwiziq_b1
FR_B1_PRON_002	fr	B1	Pronouns	y_en_advanced	Y/en advanced contrast	Y/en: fortgeschrittener Kontrast	310	false	Choose y for à/place ideas and en for de/quantity ideas, but keep person complements separate.	Use this when a sentence has an abstract phrase, quantity, or place that would be repeated.	y = à/place/thing; en = de/quantity; lui/leur = à + person	Y does not replace à + person in standard object-pronoun use. | En can replace a quantity even when the number remains.	using y for people | using en for direct objects | dropping the remaining number	Je pense à Paris -> J'y pense. | Je parle de ce livre -> J'en parle. | J'en veux trois.	pronouns | y | en	Je pense à ce projet et j'en parle souvent.	à ce projet=>y_candidate=>à + thing can become y with penser||en=>de_link=>parler de becomes en parler	cefr | delf_b1 | kwiziq_b1
FR_B1_REL_001	fr	B1	Relative clauses	dont	Relative pronoun dont	Relativpronomen dont	320	false	Use dont when the missing link inside the relative clause would be de + noun.	Use this after verbs, adjectives, or nouns that require de, such as parler de, avoir besoin de, être fier de.	noun + dont + clause	Dont is not a universal “whose”; it specifically covers a de-link. | Qui/que are chosen by subject/object role, not de.	using que after parler de | using dont without a de-link | translating English whose mechanically	Le livre dont je parle. | La personne dont j'ai besoin. | Le film dont il est fier.	relative | dont | de	C'est le problème dont nous parlons.	le problème=>antecedent=>the noun is the topic being specified||dont=>de_link=>dont replaces de ce problème inside parlons de	cefr | delf_b1 | kwiziq_b1
FR_B1_SYN_001	fr	B1	Syntax	reported_speech_intro	Reported speech intro	Indirekte Rede: Einstieg	330	false	Reported speech keeps the meaning of the original words while embedding them under a reporting verb.	Use this when saying what someone says, thinks, asks, or announces.	dire/penser/demander que/si + embedded clause	Reported questions do not keep direct question word order. | Tense shifts become more important at higher levels.	keeping direct question order | forgetting que/si | changing pronouns without checking viewpoint	Il dit qu'il vient. | Elle demande si tu comprends. | Il pense que c'est vrai.	reported_speech | syntax	Elle demande si tu viens demain.	demande=>reporting_verb=>opens indirect speech||si tu viens=>embedded_question=>yes/no question becomes si + statement order	cefr | delf_b1 | kwiziq_b1
FR_B1_VERB_001	fr	B1	Verbs	subjunctive_intro	Subjunctive triggers intro	Subjonctif-Auslöser: Einstieg	340	false	Use subjunctive after common triggers of necessity, wish, emotion, doubt, or possibility.	Use this when the main clause presents a subjective stance toward the following action.	trigger + que + subjunctive	Subjunctive is triggered by the frame, not by English tense. | Certain or factual statements usually keep indicative.	using indicative after il faut que | using subjunctive after every que | ignoring subject change	Il faut que tu viennes. | Je veux qu'elle parte. | Je doute qu'il sache.	subjunctive | mood | triggers	Il faut que tu viennes demain.	Il faut que=>trigger=>necessity opens a subjunctive slot||viennes=>subjunctive_form=>venir changes form after the trigger	cefr | delf_b1 | kwiziq_b1
FR_B1_VERB_002	fr	B1	Verbs	gerund	Gerund: en + participe présent	Gérondif: en + participe présent	350	false	Use en + present participle to express how, when, or while something happens.	Use this to compress two actions with the same subject into one sentence.	en + present participle	Same-subject control matters; do not use the gerund if the subject changes. | It often expresses manner or simultaneity, not every English -ing.	using it with a different subject | translating every -ing form | forgetting en	Il apprend en écoutant. | Elle sourit en entrant. | En travaillant, tu progresseras.	gerund | participle | syntax	Elle a répondu en souriant.	en souriant=>gerund_phrase=>shows how she answered||Elle=>same_subject=>the same subject controls both actions	cefr | delf_b1 | kwiziq_b1
FR_B1_AGR_001	fr	B1	Agreement	past_participle_agreement	Past participle agreement basics	Partizip-Kongruenz: Grundlagen	360	false	Past participles agree with the subject with être, and with a preceding direct object in key avoir patterns.	Use this when writing passé composé carefully and the auxiliary or object order can affect agreement.	être + agreeing participle; preceding direct object + avoir agreement	With avoir, agreement is not with the subject unless the direct object comes before. | Reflexive verbs require special attention.	adding agreement after every avoir | missing être agreement | ignoring preceding direct objects	Elle est arrivée. | Les lettres que j'ai écrites. | Ils se sont levés.	agreement | past_participle | passe_compose	Les lettres que j'ai écrites sont longues.	Les lettres=>preceding_object=>the direct object appears before the participle||écrites=>participle_agreement=>the participle agrees feminine plural	cefr | delf_b1 | kwiziq_b1
FR_B2_SUBJ_001	fr	B2	Verbs	subjunctive_will_emotion_doubt	Subjunctive after will, emotion, and doubt	Subjonctif nach Wille, Gefühl und Zweifel	370	false	Use subjunctive after frames that present an action as wanted, felt, doubted, necessary, or not yet factual.	Use this to express attitude toward an action rather than simply reporting it as fact.	stance trigger + que + subjunctive	Indicative reports facts; subjunctive marks the speaker's stance. | Some expressions switch mood when negated or questioned.	using indicative after doubt/wish | using subjunctive after certain facts | missing irregular subjunctive stems	Je veux que tu viennes. | Je suis content qu'elle soit là. | Je doute qu'il puisse venir.	subjunctive | mood | stance	Je doute qu'il puisse finir ce soir.	Je doute que=>doubt_trigger=>doubt opens a subjunctive frame||puisse=>subjunctive_form=>pouvoir takes subjunctive form	cefr | delf_b2 | kwiziq_b2
FR_B2_SUBJ_002	fr	B2	Verbs	indicative_subjunctive_contrast	Indicative vs subjunctive contrast	Indikativ vs. Subjonctif	380	false	The mood changes with how the speaker presents the clause: factual/certain uses indicative; subjective/uncertain uses subjunctive.	Use this when the same verb can appear after different frames with different meaning.	certainty + indicative; doubt/necessity/emotion + subjunctive	Mood is not translated directly into English. | A small change in the main clause can change the mood.	using one mood after every que | missing negative/question mood shifts | treating subjunctive as a tense	Je pense qu'il vient. | Je ne pense pas qu'il vienne. | Il est clair qu'elle sait.	subjunctive | indicative | contrast	Je pense qu'il vient, mais je doute qu'il vienne demain.	pense que=>certainty_frame=>pense que normally takes indicative||doute que=>doubt_frame=>doubt triggers subjunctive	cefr | delf_b2 | kwiziq_b2
FR_B2_TENSE_001	fr	B2	Tenses	plus_que_parfait	Plus-que-parfait	Plusquamperfekt	390	false	Use plus-que-parfait for a past action completed before another past reference point.	Use this to show “had done” relationships in narration, explanation, and reported memory.	imparfait of avoir/être + past participle	Plus-que-parfait is earlier-than-past; passé composé is the event point. | It often explains a later past result.	using passé composé for both past layers | forgetting imparfait auxiliary | overusing it for simple chronology	Quand je suis arrivé, elle était déjà partie. | J'avais oublié mes clés.	tenses | past_perfect | sequence	Quand je suis arrivé, elle était déjà partie.	suis arrivé=>past_reference=>the arrival is the later past point||était partie=>earlier_past=>she had left before that point	cefr | delf_b2 | kwiziq_b2
FR_B2_COND_001	fr	B2	Conditionals	conditional_past	Conditional past	Conditionnel passé	400	false	Use conditional past for a hypothetical or polite result viewed as completed.	Use this for regrets, unreal past results, and reported future-perfect ideas from a past viewpoint.	conditional of avoir/être + past participle	Conditional past is not the same as plus-que-parfait; it marks dependency or unreal result. | Si type 3 uses plus-que-parfait in the si-clause.	using it after si | using present conditional for completed results | forgetting être agreement	J'aurais aimé venir. | Elle serait partie plus tôt. | Nous aurions pu aider.	conditional | past | hypothesis	J'aurais répondu si j'avais vu ton message.	J'aurais répondu=>conditional_past_result=>the unreal completed result||si j'avais vu=>past_condition=>the condition uses plus-que-parfait	cefr | delf_b2 | kwiziq_b2
FR_B2_TENSE_002	fr	B2	Tenses	future_perfect	Future perfect	 Futur antérieur	410	false	Use future perfect for an action that will be completed before a future reference point.	Use this to say “will have done” or to mark completion before another future event.	future of avoir/être + past participle	Future simple says what will happen; future perfect says what will already be completed. | It can also express probability about the past.	using future simple for completed-before-future | forgetting auxiliary future form | missing être agreement	Quand tu arriveras, j'aurai fini. | Elle sera déjà partie.	tenses | future_perfect | sequence	Quand tu arriveras, j'aurai fini le rapport.	tu arriveras=>future_reference=>the arrival is the future point||j'aurai fini=>completed_before=>the report will be finished before that point	cefr | delf_b2 | kwiziq_b2
